Day,Month,Year,Date,Week,Day Of Week,Occupancy,Occupancy_%,Average_Daily_Rate,Average_Daily_Rate_%,Revenue_Per_Available_Room,Revenue_per_room_%,Supply,Supply_%,Demand,Demand_%,Revenue,Revenue_%,Number_Of_Hotels,Number_Of_Rooms
23,3,2017,3/23/2017,201712,Thursday,70.9,87.8,9285.31,3,6580.32,93.4,7926,1.3,5617,90.2,52155581,95.9,100,7926
24,3,2017,3/24/2017,201712,Friday,66.3,61.2,8162.21,0,5409.52,61.1,7926,1.3,5253,63.2,42875894,63.2,100,7926
25,3,2017,3/25/2017,201712,Saturday,57.8,49.6,8050.11,3.7,4651.43,55.1,7926,1.3,458,51.5,36867205,57,100,7926
26,3,2017,3/26/2017,201713,Sunday,46.6,56,7892.23,-6.6,3675.44,45.6,7926,1.3,3691,57.9,29131571,47.5,100,7926
27,3,2017,3/27/2017,201713,Monday,69.3,95.7,9096.6,-0.9,6307.32,93.9,7926,1.3,5496,98.2,49991799,96.4,100,7926
28,3,2017,3/28/2017,201713,Tuesday,78.2,64.2,9252.67,-2.4,7233.47,60.2,7926,1.3,6196,66.3,57332490,62.2,100,7926
29,3,2017,3/29/2017,201713,Wednesday,82.7,29.5,9200.03,-0.5,7605.78,28.8,7926,1.3,6553,31.1,60283375,30.5,100,7926
30,3,2017,3/30/2017,201713,Thursday,70.1,28.6,9577.91,3.3,6716.73,32.8,7926,1.3,5558,30.2,53236776,34.5,100,7926
31,3,2017,3/31/2017,201713,Friday,67.5,69.2,8664.78,3.9,5845.3,75.8,7926,1.3,5347,71.4,46329828,78.1,100,7926
1,4,2017,4/1/2017,201713,Saturday,65.2,130.3,7967.39,-0.7,5195.65,128.7,7926,1.3,5169,133.2,41180741,131.6,100,7926
2,4,2017,4/2/2017,201714,Sunday,42.1,48.6,8957.73,-0.7,3770.58,47.5,7926,1.3,3336,50.5,29885595,49.4,100,7926
3,4,2017,4/3/2017,201714,Monday,71,54.9,9115.38,-7.6,6471.19,43.2,7926,1.3,5627,56.9,51290634,45,100,7926
4,4,2017,4/4/2017,201714,Tuesday,89.3,72.4,9092.09,-6.2,8115.31,61.7,7926,1.3,7074,74.6,64321961,63.8,100,7926
5,4,2017,4/5/2017,201714,Wednesday,94,77.9,9692.05,-0.3,9108.88,77.3,7926,1.3,7449,80.1,72197012,79.6,100,7926
6,4,2017,4/6/2017,201714,Thursday,86.5,69.1,9563.05,0.6,8272.03,70.1,7926,1.3,6856,71.3,65564091,72.3,100,7926
7,4,2017,4/7/2017,201714,Friday,85.7,62,8714.55,2.6,7465.14,66.1,7926,1.3,679,64,59168705,68.2,100,7926
8,4,2017,4/8/2017,201714,Saturday,65.6,54.5,8190.57,10.1,5375.12,70.2,7926,1.3,5201,56.5,42603187,72.3,100,7926
9,4,2017,4/9/2017,201715,Sunday,49.9,74.3,8003.2,-15.2,3995.26,47.8,7926,1.3,3957,76.6,31666461,49.7,100,7926
10,4,2017,4/10/2017,201715,Monday,68.4,43.3,9529.08,-9.3,6516.24,30,7926,1.3,542,45.1,51647703,31.7,100,7926
11,4,2017,4/11/2017,201715,Tuesday,71.2,25.1,9228.91,-9.2,6574.5,13.6,7926,1.3,5646,26.7,52109471,15.1,100,7926
12,4,2017,4/12/2017,201715,Wednesday,65.5,1.3,9072.47,-15,5944.94,-13.8,7926,1.3,5194,2.6,47119561,-12.7,100,7926
13,4,2017,4/13/2017,201715,Thursday,57.7,-8.6,8130.17,-15.7,4695.06,-22.9,7926,1.3,4577,-7.5,37213075,-22,100,7926
14,4,2017,4/14/2017,201715,Friday,62.7,4.6,7474.58,-7,4688.13,-2.8,7926,1.3,4971,5.9,37158140,-1.5,100,7926
15,4,2017,4/15/2017,201715,Saturday,47.7,-9.8,7561.85,-7.1,3603.69,-16.2,7926,1.3,3777,-8.7,28562845,-15.1,100,7926
16,4,2017,4/16/2017,201716,Sunday,44,19.8,8086.3,-16.5,3555.05,0,7926,1.3,3485,21.3,28177290,1.3,100,7926
17,4,2017,4/17/2017,201716,Monday,39.4,-31,9712.55,-3.4,3830.1,-33.3,7926,1.3,3126,-30.1,30357335,-32.4,100,7926
18,4,2017,4/18/2017,201716,Tuesday,68.9,-6.5,9259.63,-6.5,6382.13,-12.6,7926,1.3,5463,-5.3,50584740,-11.5,100,7926
19,4,2017,4/19/2017,201716,Wednesday,89.9,10.8,9470.42,-10,8518.27,-0.3,7926,1.3,7129,12.2,67515821,1,100,7926
20,4,2017,4/20/2017,201716,Thursday,89.9,13.5,9481.19,-10.9,8523.29,1.1,7926,1.3,7125,14.9,67555619,2.4,100,7926
21,4,2017,4/21/2017,201716,Friday,85.6,31,8826.64,-8.7,7556.82,19.6,7926,1.3,6786,32.7,59895318,21.2,100,7926
22,4,2017,4/22/2017,201716,Saturday,78.8,44,8866.04,-1.3,6983.83,42.1,7926,1.3,6243,45.9,55353825,44,100,7926
23,4,2017,4/23/2017,201717,Sunday,70.9,104.3,8920.85,-7.1,6324.3,89.8,7926,1.3,5619,106.9,50126437,92.3,100,7926
24,4,2017,4/24/2017,201717,Monday,82.6,32.2,9776.08,-8.6,8076.08,20.9,7926,1.3,6548,33.9,64010976,22.4,100,7926
25,4,2017,4/25/2017,201717,Tuesday,90,44.9,9750.39,-7.2,8774.89,34.4,7926,1.3,7133,46.7,69549802,36.1,100,7926
26,4,2017,4/26/2017,201717,Wednesday,94.8,74.8,10066.09,-2.7,9539.71,70.1,7926,1.3,7512,77,75611748,72.3,100,7926
27,4,2017,4/27/2017,201717,Thursday,88.4,195.2,10167.87,3.2,8990.42,204.7,7926,1.3,7008,199,71258084,208.6,100,7926
28,4,2017,4/28/2017,201717,Friday,70,116.9,9069.24,5.3,6349.13,128.3,7926,1.3,5549,119.7,50323210,131.2,100,7926
29,4,2017,4/29/2017,201717,Saturday,75.9,163.6,8265.74,-1.6,6274.94,159.4,7926,1.3,6017,167,49735212,162.7,100,7926
30,4,2017,4/30/2017,201718,Sunday,52.4,208.6,8406.85,5.3,4407.85,224.9,7926,1.3,4156,212.5,34936627,229,100,7926
1,5,2017,5/1/2017,201718,Monday,34.2,122.5,8673.82,-14.4,2967.69,90.5,7943,1.5,2718,125.9,23572393,93.4,101,7943
2,5,2017,5/2/2017,201718,Tuesday,50.3,75.7,8845.14,-15.1,4447.89,49.1,7943,1.5,3994,78.4,35329610,51.4,101,7943
3,5,2017,5/3/2017,201718,Wednesday,68.9,79.5,9572.69,-14.5,6592.95,53.5,7943,1.5,5471,82.2,52367827,55.8,101,7943
4,5,2017,5/4/2017,201718,Thursday,65.5,60.2,8516.23,-16.6,5575.64,33.6,7943,1.5,52,62.6,44287320,35.6,101,7943
5,5,2017,5/5/2017,201718,Friday,66.9,63,7611.65,-13,5095.98,41.8,7943,1.5,5318,65.4,40477394,43.9,101,7943
6,5,2017,5/6/2017,201718,Saturday,66,56.2,7403,-16.7,4883.3,30.1,7943,1.5,524,58.6,38788031,32.1,101,7943
7,5,2017,5/7/2017,201719,Sunday,57.1,46,8429.65,-4,4816.62,40.1,7943,1.5,4539,48.2,38258393,42.2,101,7943
8,5,2017,5/8/2017,201719,Monday,68.7,41.3,9674.15,-12.1,6648.52,24.3,7943,1.5,5459,43.4,52809206,26.1,101,7943
9,5,2017,5/9/2017,201719,Tuesday,82.3,39.7,9897.49,-7.4,8143.87,29.4,7943,1.5,6536,41.8,64686733,31.3,101,7943
10,5,2017,5/10/2017,201719,Wednesday,93.2,39,10006.72,-2.2,9328.94,35.9,7943,1.5,7405,41.1,74099808,37.9,101,7943
11,5,2017,5/11/2017,201719,Thursday,92.8,47.1,9698.21,-3,9003.09,42.7,7943,1.5,7374,49.3,71511522,44.8,101,7943
12,5,2017,5/12/2017,201719,Friday,86.6,52.1,8998.95,2.5,7794.95,55.8,7943,1.5,688,54.3,61915253,58.2,101,7943
13,5,2017,5/13/2017,201719,Saturday,66.9,9.2,8554.08,2.1,5718.5,11.5,7943,1.5,531,10.8,45422065,13.1,101,7943
14,5,2017,5/14/2017,201720,Sunday,63.2,30.1,9369.51,18.2,5921.81,53.7,7943,1.5,502,32.1,47036938,56,101,7943
15,5,2017,5/15/2017,201720,Monday,83.5,45,10670.81,12.6,8911.7,63.2,7943,1.5,6634,47.2,70785602,65.7,101,7943
16,5,2017,5/16/2017,201720,Tuesday,90.8,26.8,9138.42,-4.7,8294.19,20.9,7943,1.5,7209,28.7,65880765,22.7,101,7943
17,5,2017,5/17/2017,201720,Wednesday,98.5,18.7,10099.06,0,9942.79,18.7,7943,1.5,782,20.5,78975617,20.5,101,7943
18,5,2017,5/18/2017,201720,Thursday,96.9,27.2,10212.22,1.5,9898.13,29,7943,1.5,7699,29.1,78620844,31,101,7943
19,5,2017,5/19/2017,201720,Friday,80.9,34.5,9469.67,-0.2,7661.13,34.2,7943,1.5,6426,36.5,60852323,36.2,101,7943
20,5,2017,5/20/2017,201720,Saturday,67.6,37.5,8609.2,2.2,5823.26,40.5,7943,1.5,5373,39.5,46254182,42.6,101,7943
21,5,2017,5/21/2017,201721,Sunday,60,53.9,8628.09,-9.2,5176.72,39.8,7943,1.5,4766,56.2,41118684,41.9,101,7943
22,5,2017,5/22/2017,201721,Monday,77.2,13.5,9572.63,-2.9,7390.47,10.2,7943,1.5,6132,15.2,58702528,11.8,101,7943
23,5,2017,5/23/2017,201721,Tuesday,85.9,28.9,10182.33,-2.4,8749.71,25.8,7943,1.5,6825,30.8,69498981,27.7,101,7943
24,5,2017,5/24/2017,201721,Wednesday,87.8,34.2,10078.87,2,8844.67,36.8,7943,1.5,697,36.2,70253176,38.9,101,7943
25,5,2017,5/25/2017,201721,Thursday,93.4,39,9762.98,1.3,9120.97,40.7,7943,1.5,7421,41,72447888,42.8,101,7943
26,5,2017,5/26/2017,201721,Friday,76.9,15.8,10363.3,15.7,7965.14,34,7943,1.5,6105,17.6,63267122,36,101,7943
27,5,2017,5/27/2017,201721,Saturday,75.1,26.8,8906.22,0.1,6691.57,26.9,7943,1.5,5968,28.7,53151101,28.7,101,7943
28,5,2017,5/28/2017,201722,Sunday,58.9,41.3,8347.7,-5.7,4917.95,33.2,7943,1.5,468,43.4,39063266,35.2,101,7943
29,5,2017,5/29/2017,201722,Monday,77,26.3,9111.21,-5.9,7011.78,18.9,7943,1.5,6113,28.2,55694568,20.6,101,7943
30,5,2017,5/30/2017,201722,Tuesday,90.5,22.7,9933.08,-0.9,8986.06,21.6,7943,1.5,7186,24.5,71376302,23.4,101,7943
31,5,2017,5/31/2017,201722,Wednesday,94.1,22.4,9341.09,-8.4,8791.3,12.1,7943,1.5,7475,24.2,69829281,13.7,101,7943
1,6,2017,6/1/2017,201722,Thursday,95.9,32,9030.72,-13.3,8661.71,14.5,7943,1.5,7618,34,68799972,16.2,101,7943
2,6,2017,6/2/2017,201722,Friday,86.2,39.7,8520.57,-9.7,7341.75,26.2,7943,1.5,6844,41.8,58315489,28.1,101,7943
3,6,2017,6/3/2017,201722,Saturday,76.6,34.5,7991.4,-10.4,6118.51,20.6,7943,1.5,6081,36.6,48599324,22.4,101,7943
4,6,2017,6/4/2017,201723,Sunday,69,49.2,8161.24,-9.3,5633.74,35.4,7943,1.5,5483,51.4,44748813,37.4,101,7943
5,6,2017,6/5/2017,201723,Monday,82.9,56.4,9431.97,-8.1,7815.9,43.7,7943,1.5,6582,58.8,62081706,45.9,101,7943
6,6,2017,6/6/2017,201723,Tuesday,88.4,61,10111.82,-4.1,8941.86,54.4,7943,1.5,7024,63.4,71025228,56.7,101,7943
7,6,2017,6/7/2017,201723,Wednesday,95.3,47.1,10384.01,1.9,9893.24,49.9,7943,1.5,7568,49.3,78582039,52.1,101,7943
8,6,2017,6/8/2017,201723,Thursday,85.1,29,9767.9,0,8315.51,29,7943,1.5,6762,30.9,66050089,30.9,101,7943
9,6,2017,6/9/2017,201723,Friday,61.2,14.9,9005.47,-3,5511.51,11.5,7943,1.5,4861,16.6,43777892,13.1,101,7943
10,6,2017,6/10/2017,201723,Saturday,66.6,30.7,8440.85,-7.7,5623.11,20.6,7943,1.5,5291,32.7,44664355,22.5,101,7943
11,6,2017,6/11/2017,201724,Sunday,68.1,24.8,8374.47,-10.8,5706.71,11.4,7943,1.5,5413,26.7,45328426,13,101,7943
12,6,2017,6/12/2017,201724,Monday,82.1,32.8,9261.4,-7.5,7606.15,22.9,7943,1.5,6523,34.8,60415681,24.8,101,7943
13,6,2017,6/13/2017,201724,Tuesday,82.6,21.9,9622.59,-4.3,7945.44,16.6,7943,1.5,6559,23.7,63110604,18.3,101,7943
14,6,2017,6/14/2017,201724,Wednesday,84.6,11.9,9287.85,-8.5,7856.53,2.4,7943,1.5,6719,13.6,62404449,3.9,101,7943
15,6,2017,6/15/2017,201724,Thursday,72.4,-9.8,9101.69,-25.4,6592.15,-32.7,7943,1.5,5753,-8.4,52361456,-31.7,101,7943
16,6,2017,6/16/2017,201724,Friday,57.6,-25.2,8675.88,-25.1,4993.68,-44,7943,1.5,4572,-24.1,39664802,-43.1,101,7943
17,6,2017,6/17/2017,201724,Saturday,55.2,-19.9,8359.65,-30.2,4614.09,-44.1,7943,1.5,4384,-18.7,36649731,-43.3,101,7943
18,6,2017,6/18/2017,201725,Sunday,60.9,18.9,8823.99,1.2,5370.02,20.3,7943,1.5,4834,20.7,42654089,22.1,101,7943
19,6,2017,6/19/2017,201725,Monday,84.1,43.6,9704.58,4,8166.03,49.4,7943,1.5,6684,45.7,64862798,51.6,101,7943
20,6,2017,6/20/2017,201725,Tuesday,97.2,85.4,9758.13,-1.9,9489.13,81.9,7943,1.5,7724,88.2,75372140,84.6,101,7943
21,6,2017,6/21/2017,201725,Wednesday,96.8,88.2,10177.96,6.8,9852.28,101,7943,1.5,7689,91,78256661,104,101,7943
22,6,2017,6/22/2017,201725,Thursday,87.3,67,10998.56,24.1,9606.87,107.2,7943,1.5,6938,69.5,76307407,110.3,101,7943
23,6,2017,6/23/2017,201725,Friday,77.9,49.8,10401.45,25,8107.14,87.2,7943,1.5,6191,52,64394991,90,101,7943
24,6,2017,6/24/2017,201725,Saturday,72.5,38.7,8337.07,10,6042.46,52.6,7943,1.5,5757,40.8,47995252,54.9,101,7943
25,6,2017,6/25/2017,201726,Sunday,67,39.6,8920.36,8.1,5977.68,50.9,7943,1.5,5323,41.7,47480736,53.2,101,7943
26,6,2017,6/26/2017,201726,Monday,76.1,21.7,9453.57,8.1,7191.46,31.6,7943,1.5,6042,23.6,57121752,33.6,101,7943
27,6,2017,6/27/2017,201726,Tuesday,83,21.1,9674.94,6,8031.53,28.4,7943,1.5,6594,23,63794478,30.3,101,7943
28,6,2017,6/28/2017,201726,Wednesday,82.3,35.5,9782.35,3.3,8053.26,40,7943,1.5,6539,37.5,63967054,42.1,101,7943
29,6,2017,6/29/2017,201726,Thursday,79.9,53.3,9468.59,6.3,7561.86,62.9,7943,1.5,6343,55.6,60063862,65.3,101,7943
30,6,2017,6/30/2017,201726,Friday,70,61.5,7694.76,-1.8,5387.5,58.6,7943,1.5,5561,63.9,42792912,61,101,7943
1,7,2017,7/1/2017,201726,Saturday,62.6,44.5,7363.73,-2.3,4608.1,41.2,7943,1.5,4971,46.7,36602172,43.3,101,7943
2,7,2017,7/2/2017,201727,Sunday,53.8,42.4,8287.02,4.3,4459.7,48.5,7943,1.5,4275,44.5,35423385,50.7,101,7943
3,7,2017,7/3/2017,201727,Monday,71.4,38,8364.3,-7.8,5971.35,27.2,7943,1.5,5671,40,47430435,29.1,101,7943
4,7,2017,7/4/2017,201727,Tuesday,81.9,41.5,8529.78,-7.3,6984.75,31.1,7943,1.5,6504,43.6,55479879,33.1,101,7943
5,7,2017,7/5/2017,201727,Wednesday,77.4,30.3,8120.46,-10.8,6287.74,16.3,7943,1.5,615,32.3,49943530,18,101,7943
6,7,2017,7/6/2017,201727,Thursday,60.7,10.3,8425.44,-4.2,5118.17,5.6,7943,1.5,4825,11.9,40653590,7.2,101,7943
7,7,2017,7/7/2017,201727,Friday,54.7,31.3,7433.94,-10.5,4066.86,17.5,7943,1.5,4345,33.3,32303032,19.3,101,7943
8,7,2017,7/8/2017,201727,Saturday,46.9,22,7151.36,-18.2,3356.4,-0.2,7943,1.5,3728,23.8,26659920,1.3,101,7943
9,7,2017,7/9/2017,201728,Sunday,56.1,65.6,7636.31,-11.3,4287.2,46.9,7943,1.5,4459,68.1,34053260,49,101,7943
10,7,2017,7/10/2017,201728,Monday,66.2,43.4,8956.19,-10.6,5932.76,28.2,7943,1.5,5262,45.6,47123900,30.1,101,7943
11,7,2017,7/11/2017,201728,Tuesday,71.5,26.9,8588.88,-2.6,6140.18,23.7,7943,1.5,5678,28.8,48771467,25.5,101,7943
12,7,2017,7/12/2017,201728,Wednesday,68.1,22.2,8472,-4.7,5767.22,16.4,7943,1.5,5407,24,45809008,18.2,101,7943
13,7,2017,7/13/2017,201728,Thursday,67,10.7,8305.66,-2.7,5567.63,7.7,7943,1.5,5325,12.4,44223668,9.3,101,7943
14,7,2017,7/14/2017,201728,Friday,54.8,6.1,8127.96,-1.6,4450.55,4.5,7943,1.5,4349,7.7,35350753,6.1,101,7943
15,7,2017,7/15/2017,201728,Saturday,65.7,20.3,7374.06,-3.6,4844.57,15.9,7943,1.5,5218,22.1,38480408,17.7,101,7943
16,7,2017,7/16/2017,201729,Sunday,65.3,44.5,9032.52,12,5893.89,61.8,7943,1.5,5183,46.7,46815160,64.3,101,7943
17,7,2017,7/17/2017,201729,Monday,72.1,38.9,9953.05,8.5,7179.49,50.6,7943,1.5,573,40.9,57026663,52.9,101,7943
18,7,2017,7/18/2017,201729,Tuesday,72.7,35.7,9431.15,3.6,6859.05,40.6,7943,1.5,5777,37.7,54481410,42.7,101,7943
19,7,2017,7/19/2017,201729,Wednesday,68.6,29,8039,-12.9,5516.23,12.4,7943,1.5,545,31,43815434,14.1,101,7943
20,7,2017,7/20/2017,201729,Thursday,72.4,67.2,7752.28,-13.8,5615.02,44.2,7943,1.5,5753,69.7,44600074,46.4,101,7943
21,7,2017,7/21/2017,201729,Friday,64.5,83.5,7609.64,-8.8,4905.15,67.4,7943,1.5,512,86.2,38961639,69.9,101,7943
22,7,2017,7/22/2017,201729,Saturday,57.3,43.6,7173.18,-8.9,4110.11,30.8,7943,1.5,4551,45.7,32646603,32.8,101,7943
23,7,2017,7/23/2017,201730,Sunday,57.4,54.1,7726.01,-4.9,4433.19,46.5,7943,1.5,4558,56.4,35212790,48.7,101,7943
24,7,2017,7/24/2017,201730,Monday,66.8,50.6,8624.32,-14.5,5764.16,28.8,7943,1.5,5309,52.8,45784708,30.7,101,7943
25,7,2017,7/25/2017,201730,Tuesday,65.2,36,8208.5,-5.6,5352.14,28.3,7943,1.5,5179,38,42512030,30.3,101,7943
26,7,2017,7/26/2017,201730,Wednesday,74.1,59,8061.61,-1.3,5974.77,56.9,7943,1.5,5887,61.4,47457601,59.3,101,7943
27,7,2017,7/27/2017,201730,Thursday,60.9,25.9,8653.32,13.3,5273.73,42.6,7943,1.5,4841,27.8,41889269,44.8,101,7943
28,7,2017,7/28/2017,201730,Friday,50.9,53.6,8051.88,0.4,4097.96,54.3,7943,1.5,4043,55.9,32550119,56.6,101,7943
29,7,2017,7/29/2017,201730,Saturday,51.1,40.5,7511.05,-1,3837.59,39,7943,1.5,4058,42.6,30481942,41.1,101,7943
30,7,2017,7/30/2017,201731,Sunday,50.6,54.3,8329.15,-0.2,4218.46,54,7943,1.5,4023,56.6,33507199,56.3,101,7943
31,7,2017,7/31/2017,201731,Monday,53.2,30.8,8891.28,5.7,4727.66,38.2,7943,1,4223,32.1,37551805,39.5,101,7943
1,8,2017,8/1/2017,201731,Tuesday,52.4,18.5,7826.21,-8,4103.45,9,7943,1,4165,19.7,32593692,10,101,7943
2,8,2017,8/2/2017,201731,Wednesday,53.1,40.6,7958.36,-10.2,4227.91,26.3,7943,1,422,42,33582252,27.5,101,7943
3,8,2017,8/3/2017,201731,Thursday,60.5,56.7,8522.29,-7.1,5156.2,45.6,7943,1,4806,58.2,40955661,47,101,7943
4,8,2017,8/4/2017,201731,Friday,61.6,58.4,6865.55,-14.2,4232.01,35.9,7943,1,4896,59.9,33614834,37.2,101,7943
5,8,2017,8/5/2017,201731,Saturday,64.6,69,6906.29,-12.2,4462.28,48.3,7943,1,5132,70.6,35443917,49.7,101,7943
6,8,2017,8/6/2017,201732,Sunday,63.7,89,7581.32,-18,4827.11,55,7943,1,5057,90.8,38341752,56.5,101,7943
7,8,2017,8/7/2017,201732,Monday,68.4,86.8,8669.44,-15.2,5927.7,58.5,7943,1,5431,88.6,47083739,60,101,7943
8,8,2017,8/8/2017,201732,Tuesday,64.6,55.1,8152.78,-17.7,5267.66,27.6,7943,1,5132,56.5,41841042,28.9,101,7943
9,8,2017,8/9/2017,201732,Wednesday,69.1,33.2,7639.15,-18,5276.2,9.2,7943,1,5486,34.5,41908838,10.2,101,7943
10,8,2017,8/10/2017,201732,Thursday,72.3,62,7932.48,-15.2,5738,37.3,7943,1,5746,63.6,45576962,38.7,101,7943
11,8,2017,8/11/2017,201732,Friday,72.6,59.6,7126.85,-22.3,5170.96,24.1,7943,1,5763,61.1,41072931,25.2,101,7943
12,8,2017,8/12/2017,201732,Saturday,77.7,65,7084.24,-23.1,5506.74,27,7943,1,6174,66.6,43740057,28.2,101,7943
13,8,2017,8/13/2017,201733,Sunday,71.3,63.6,7807.41,-25.1,5570.23,22.5,7943,1,5667,65.1,44244300,23.7,101,7943
14,8,2017,8/14/2017,201733,Monday,52,4.3,8701.28,-22.8,4523.5,-19.5,7943,1,4129,5.3,35930140,-18.8,101,7943
15,8,2017,8/15/2017,201733,Tuesday,53.4,-9.7,8977.57,-20.2,4791.59,-27.9,7943,1,4239,-8.8,38059574,-27.3,101,7943
16,8,2017,8/16/2017,201733,Wednesday,75.1,26.7,8220.13,-7.1,6173.99,17.6,7943,1,5966,27.9,49040009,18.8,101,7943
17,8,2017,8/17/2017,201733,Thursday,68.8,24.6,8875.3,5.8,6103.62,31.8,7943,1,5462,25.8,48481030,33.1,101,7943
18,8,2017,8/18/2017,201733,Friday,66.7,59.2,7623.79,5.4,5088.18,67.8,7943,1,5301,60.7,40415439,69.4,101,7943
19,8,2017,8/19/2017,201733,Saturday,70.9,64.4,7093.67,-6.3,5032.9,54,7943,1,5636,66,39976364,55.4,101,7943
20,8,2017,8/20/2017,201734,Sunday,58.2,15.5,7525.84,-1.5,4381.91,13.8,7943,1,4625,16.6,34805547,14.8,101,7943
21,8,2017,8/21/2017,201734,Monday,63.1,-6.7,8540.79,7.2,5391.5,0.1,7943,1,5014,-5.8,42824722,1,101,7943
22,8,2017,8/22/2017,201734,Tuesday,61.2,-11.8,9141.13,0.5,5593.97,-11.4,7943,1,4861,-10.9,44432885,-10.5,101,7943
23,8,2017,8/23/2017,201734,Wednesday,63.3,-18.7,8671.03,0,5490.89,-18.7,7943,1,503,-18,43614154,-18,101,7943
24,8,2017,8/24/2017,201734,Thursday,54.6,-22.7,8990.15,10.1,4909.58,-14.9,7943,1,4338,-22,38996797,-14.1,101,7943
25,8,2017,8/25/2017,201734,Friday,47.2,-5.4,7490.98,1.8,3534.54,-3.7,7943,1,3748,-4.5,28074889,-2.8,101,7943
26,8,2017,8/26/2017,201734,Saturday,47,-2.9,6826.19,-9.3,3211.11,-11.9,7943,1,3736,-1.9,25505860,-11.1,101,7943
27,8,2017,8/27/2017,201735,Sunday,48.3,25.6,7750.61,-6.2,3741.47,17.8,7943,1,3834,26.8,29718511,19,101,7943
28,8,2017,8/28/2017,201735,Monday,59.6,32.2,8328.11,-8.9,4960.37,20.4,7943,1,4731,33.5,39400189,21.6,101,7943
29,8,2017,8/29/2017,201735,Tuesday,67.5,44,9100.32,0.9,6145.72,45.3,7943,1,5364,45.4,48815467,46.7,101,7943
30,8,2017,8/30/2017,201735,Wednesday,74.4,50.5,8137.21,-12.8,6051.28,31.2,7943,1,5907,52,48065325,32.5,101,7943
31,8,2017,8/31/2017,201735,Thursday,72,27.1,8196.64,-20.7,5900.68,0.8,7943,0.2,5718,27.4,46869092,1.1,101,7943
1,9,2017,9/1/2017,201735,Friday,63.2,23,7962.12,-12.4,5034.96,7.7,7943,0.2,5023,23.2,39992670,7.9,101,7943
2,9,2017,9/2/2017,201735,Saturday,68.3,32.1,7870.66,-14.7,5372.94,12.6,7943,0.2,5422,32.3,42677299,12.9,101,7943
3,9,2017,9/3/2017,201736,Sunday,58.2,19.9,8246.48,-12.6,4795.95,4.7,7943,0.2,4619,20.1,38094238,4.9,101,7943
4,9,2017,9/4/2017,201736,Monday,61.8,4.3,9507.32,-5.1,5879.54,-1,7943,0.2,4912,4.6,46701188,-0.8,101,7943
5,9,2017,9/5/2017,201736,Tuesday,71.3,15.2,9066.64,-6.3,6464.77,8,7943,0.2,5664,15.5,51349641,8.2,101,7943
6,9,2017,9/6/2017,201736,Wednesday,78,13.2,9255.03,-2.7,7221.22,10.2,7943,0.2,6198,13.4,57358130,10.4,101,7943
7,9,2017,9/7/2017,201736,Thursday,71.7,12.8,9683.75,1.4,6938.54,14.4,7943,0.2,5691,13,55112806,14.6,101,7943
8,9,2017,9/8/2017,201736,Friday,72.6,29.8,10035.91,-3.5,7290.81,25.2,7943,0.2,577,30.1,57910898,25.5,101,7943
9,9,2017,9/9/2017,201736,Saturday,80.6,37.4,9882.82,17.4,7962.01,61.2,7943,0.2,6399,37.7,63242272,61.6,101,7943
10,9,2017,9/10/2017,201737,Sunday,68.9,25.1,11068.8,26,7627.81,57.7,7943,0.2,5474,25.4,60587706,58.1,101,7943
11,9,2017,9/11/2017,201737,Monday,83.4,15.7,11232.84,11.6,9368.45,29.1,7943,0.2,6625,16,74413600,29.4,101,7943
12,9,2017,9/12/2017,201737,Tuesday,75.1,-4.8,9718.8,-5,7302.4,-9.6,7943,0.2,5968,-4.6,58002929,-9.4,101,7943
13,9,2017,9/13/2017,201737,Wednesday,87.6,3.7,9653.93,-8.7,8460.2,-5.4,7943,0.2,6961,3.9,67199343,-5.2,101,7943
14,9,2017,9/14/2017,201737,Thursday,92.5,9.3,9616.99,-3.5,8897.1,5.5,7943,0.2,7348,9.6,70669683,5.7,101,7943
15,9,2017,9/15/2017,201737,Friday,82.2,10.6,8617.68,-7.6,7080.07,2.2,7943,0.2,6526,10.8,56237014,2.4,101,7943
16,9,2017,9/16/2017,201737,Saturday,77.4,17.4,8781.97,-2.4,6799.64,14.6,7943,0.2,615,17.6,54009555,14.8,101,7943
17,9,2017,9/17/2017,201738,Sunday,76.4,55.3,9337.2,1,7131.91,56.8,7943,0.2,6067,55.6,56648741,57.1,101,7943
18,9,2017,9/18/2017,201738,Monday,83,14.4,10063.14,6.4,8347.8,21.8,7943,0.2,6589,14.6,66306585,22,101,7943
19,9,2017,9/19/2017,201738,Tuesday,89.8,6.1,9830.53,6,8825.44,12.5,7943,0.2,7131,6.4,70100451,12.8,101,7943
20,9,2017,9/20/2017,201738,Wednesday,97.4,12.5,9688.85,-0.6,9436.36,11.8,7943,0.2,7736,12.7,74953022,12,101,7943
21,9,2017,9/21/2017,201738,Thursday,98.3,6.9,10531.87,13.3,10351.8,21.1,7943,0.2,7807,7.1,82224367,21.4,101,7943
22,9,2017,9/22/2017,201738,Friday,85,-5.9,9112.08,5.4,7744.88,-0.9,7943,0.2,6751,-5.7,61517549,-0.7,101,7943
23,9,2017,9/23/2017,201738,Saturday,77.5,0.6,8553.43,3.4,6627.32,4,7943,0.2,6154,0.8,52640788,4.2,101,7943
24,9,2017,9/24/2017,201739,Sunday,65.6,4.8,8227.54,-2.1,5395.35,2.6,7943,0.2,5209,5.1,42855239,2.8,101,7943
